id,username,tweet,text_clean,waktu,tweet_link
186,Mbgel,"Mbgel Mbgel @MAbbygail · 28.9.2024  Pencemaran air  sungai disebabkan najis babi dari premis penternakan babi.  Air  sungai berwarna gelap dan berbau busuk. Sudah 3 hari, JKKP kampung itu telah turun ke DOE terdekat dan telah membuat aduan tetapi pejabat DOE tersebut claim di luar bidang kuasa. 159 159 159",mbgel mbgel  cemar air sungai sebab najis babi premis penternakan babi air sungai warna gelap bau busuk jkkp kampung turun doe dekat adu jabat doe claim bidang kuasa,28-09-2024 16:04,https://x.com/MAbbygail/status/1839954371100180895
187,SinarHarian,"SinarHarian SinarHarian @SinarOnline · Sampel  air  Sungai Gemencheh di hantar ke Jabatan Kimia

JPS akan melakukan proses pembersihan sungai  bagi mengelakkan perkara sama berulang #SinarHarian #pencemaran #sungai Sampel air Sungai Gemencheh di hantar ke Jabatan Kimia 2 2 2 739 739 739",sinarharian sinarharian  sampel air sungai gemencheh hantar jabat kimia jps proses bersih sungai elak perkara ulang sampel air sungai gemencheh hantar jabat kimia,28-09-2024 13:47,https://x.com/SinarOnline/status/1839919734613258337
188,shaf,shaf shaf @iniakunsaplay · @convomf Sumur apa nih? Sumur resapan apa sumur buat konsumsi?? Klo sumur buat  air  konsumsi egk aman nder minimal bgt mah 10m buat menghindari  pencemaran air  secara bakteriologis alias  air  dr septic tank egk mencemari sumur 1 1 1 115 115 115,shaf shaf  sumur nih sumur resap sumur konsumsi klo sumur air konsumsi egk aman nder minimal bgt mah m hindar cemar air bakteriolog alias air dr septic tank egk cari sumur,28-09-2024 01:46,https://x.com/iniakunsaplay/status/1839738365530517604
190,blue,"blue blue @Skyblue_andsea · @Skyblue_andsea @Maharanisaa_ and and @tanyarlfes Kalau bahas  pencemaran  lingkungan, potensi buat  pencemaran air  atau meluasnya bakteri itu lebih tinggi. Udah ada dokter yang bilang. Thats why ku bilang pinter2nya kita buat ngolah sampah sendiri. Karena balik lagi, pembalut itu gaboleh dicuci itu bukan tanpa alasan 1 1 1 23 23 23",blue blue andsea  andsea and and bahas cemar lingkung potensi cemar air luas bakteri udah dokter bilang thats why ku bilang pinternya ngolah sampah balut gaboleh cuci alas,27-09-2024 12:17,https://x.com/Skyblue_andsea/status/1839534778594255305
191,"matcha | joki tugas, proposal skripsi magang PKM","matcha | joki tugas, proposal skripsi magang PKM matcha | joki tugas, proposal skripsi magang PKM @matchacake__ · @matchacake__ topik yg relevan dgn jurusanku: 
- kualitas  air , kualitas perairan 
- budidaya perairan 
- mikroba, algae, plankton 
- mikroplastik 
-  pencemaran air  
- dll  

terkait topik lain dan masih berkaitan dgn perikanan bisa bgt kita diskusiin. so, don't worry to hit me up ya! 1 1 1 1.2K 1.2K 1.2K",matcha joki tugas proposal skripsi magang pkm matcha joki tugas proposal skripsi magang pkm  topik yg relevan dgn jurus kualitas air kualitas air budidaya air mikroba algae plankton mikroplastik cemar air dll kait topik kait dgn ikan bgt diskusiin so dont worry to hit me up ya k k k,27-09-2024 11:56,https://x.com/matchacake__/status/1839529406399721488
192,Utusan Malaysia,Utusan Malaysia Utusan Malaysia @UMonline · Pencemaran air : Pengarah syarikat antara lima dituduh  https:// /pencemaran-air-pengarah-syarikat-antara-lima-dituduh/?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=umonline … #BERITA #Mahkamah #NASIONAL #top 2 2 2 349 349 349,utus malaysia utus malaysia  cemar air arah syarikat tuduh pencemaranairpengarahsyarikatantaralimadituduhutmsourcedlvritutmmediumtwitterutmcampaignumonline ,27-09-2024 05:33,https://x.com/UMonline/status/1839433154723242130
193,Alam Sekitar Selangor,Alam Sekitar Selangor Alam Sekitar Selangor @alamsekitar_sel · KENYATAAN BERKENAAN OPERASI BERSEPADU AGENSI KERAJAAN NEGERI SELANGOR KEKANG  PENCEMARAN AIR  BERBUIH DI SUNGAI KUANG Jamaliah Jamaluddin Jamaliah Jamaluddin 43 43 43,alam selangor alam selangor sel  nyata operasi padu agens raja negeri selangor kekang cemar air buih sungai kuang jamaliah jamaluddin jamaliah jamaluddin,26-09-2024 17:26,https://x.com/alamsekitar_sel/status/1839250293214830801
195,IMITS PAKA,"IMITS PAKA IMITS PAKA @DunPaka · Peruntukan Segera RM100,000 Atasi  Pencemaran Air  Takungan Pulau Redang Peruntukan Segera RM100,000 Atasi Pencemaran Air Takungan Pulau Redang 33 33 33",imits paka imits paka  untuk rm atas cemar air takung pulau redang untuk rm atas cemar air takung pulau redang,26-09-2024 08:21,https://x.com/DunPaka/status/1839112962654744675
204,blue,"blue blue @Skyblue_andsea · @luoyiiiiiiiiiii and and @tanyarlfes Di luar negeri tuh gaada istilah nyuci pembalut kak, makanya kemarin juga ada yg debat gini trus cerita dia nyuci pembalut di luar negeri ada yang ngetawain sama ada yang negur. Karena itu bakal jadi sarang bakteri dan jadi  pencemaran air . Tapi gatau kenapa kalo disini tuh bebal 1 1 1 13 13 13 1.3K 1.3K 1.3K",blue blue andsea  and and negeri tuh gaada istilah nyuci balut kak kemarin yg debat gin trus cerita nyuci balut negeri ngetawain negur sarang bakteri cemar air gatau kalo tuh bebal k k k,23-09-2024 06:17,https://x.com/Skyblue_andsea/status/1837994591951458506
205,bby,bby bby @luoyiiiiiiiiiii · @Skyblue_andsea and and @tanyarlfes BENER di jepang ga di saranin di cuci karn a bakal jd pencemaran air  1 1 1 4 4 4 1.4K 1.4K 1.4K,bby bby  andsea and and bener jepang ga saranin cuci karn a jd cemar air k k k,23-09-2024 05:59,https://x.com/luoyiiiiiiiiiii/status/1837990028557062636
